Tools,Port 3: NDI 8700449  s/n:3532DC02,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error
1,3,84451,1,OK,0.0124097,0.9815200,-0.1851008,-0.0469281,54.734,234.427,-53.601,0.1932770
1,3,84454,1,OK,0.0125626,0.9816140,-0.1843466,-0.0478795,54.424,234.427,-53.773,0.1918121
1,3,84457,1,OK,0.0126034,0.9815859,-0.1846104,-0.0474263,54.418,234.439,-53.739,0.1929757
1,3,84460,1,OK,0.0125503,0.9815402,-0.1848834,-0.0473235,54.581,234.418,-53.714,0.1980170
1,3,84463,1,OK,0.0126277,0.9814367,-0.1852159,-0.0481416,54.775,234.368,-53.778,0.2096862
1,3,84466,1,OK,0.0124398,0.9815834,-0.1845131,-0.0478979,54.419,234.466,-53.708,0.2087498
1,3,84469,1,OK,0.0126819,0.9814044,-0.1853247,-0.0483675,54.454,234.439,-53.756,0.2066181
1,3,84472,1,OK,0.0124112,0.9815547,-0.1849874,-0.0466474,54.659,234.431,-53.610,0.2119895
1,3,84475,1,OK,0.0125175,0.9815595,-0.1848197,-0.0471792,54.518,234.452,-53.695,0.1998808
1,3,84478,1,OK,0.0125611,0.9816089,-0.1842007,-0.0485424,54.251,234.486,-53.734,0.1989881
1,3,84481,1,OK,0.0125649,0.9815640,-0.1847594,-0.0473102,54.453,234.431,-53.721,0.2159716
1,3,84484,1,OK,0.0125394,0.9815042,-0.1849234,-0.0479125,54.835,234.339,-53.752,0.1984827
1,3,84487,1,OK,0.0124996,0.9816135,-0.1844397,-0.0475467,54.359,234.489,-53.680,0.1993690
1,3,84490,1,OK,0.0126780,0.9814535,-0.1853421,-0.0472931,54.791,234.340,-53.792,0.2169910
1,3,84493,1,OK,0.0125799,0.9815367,-0.1847635,-0.0478522,54.623,234.391,-53.786,0.2177729
1,3,84496,1,OK,0.0125594,0.9815868,-0.1846331,-0.0473315,54.223,234.536,-53.644,0.2110646
1,3,84499,1,OK,0.0126649,0.9814751,-0.1849587,-0.0483375,54.558,234.394,-53.790,0.1964536
1,3,84502,1,OK,0.0124282,0.9816010,-0.1846349,-0.0470633,54.874,234.372,-53.706,0.2199961
1,3,84505,1,OK,0.0126048,0.9815464,-0.1847968,-0.0475171,54.266,234.513,-53.682,0.1854164
1,3,84508,1,OK,0.0126907,0.9813242,-0.1859018,-0.0477740,54.853,234.341,-53.778,0.2184327
1,3,84511,1,OK,0.0124435,0.9816391,-0.1845008,-0.0467908,54.787,234.373,-53.713,0.1982164
1,3,84514,1,OK,0.0125624,0.9815539,-0.1846742,-0.0478490,54.455,234.453,-53.706,0.2130385
1,3,84517,1,OK,0.0125550,0.9814810,-0.1849308,-0.0483523,54.606,234.394,-53.747,0.2125395
1,3,84520,1,OK,0.0125220,0.9816572,-0.1840393,-0.0481850,54.319,234.478,-53.747,0.1994554
1,3,84523,1,OK,0.0123422,0.9816162,-0.1844558,-0.0474693,54.613,234.439,-53.645,0.2226353
1,3,84526,1,OK,0.0125382,0.9815018,-0.1847496,-0.0486268,54.777,234.342,-53.790,0.2092238
1,3,84529,1,OK,0.0126755,0.9814062,-0.1854384,-0.0478948,54.547,234.422,-53.761,0.2050430
1,3,84532,1,OK,0.0124008,0.9817260,-0.1838708,-0.0474532,54.590,234.412,-53.722,0.1984225
1,3,84535,1,OK,0.0125099,0.9815954,-0.1845564,-0.0474639,54.755,234.367,-53.755,0.2029570
1,3,84538,1,OK,0.0125387,0.9815358,-0.1847841,-0.0478022,54.448,234.448,-53.698,0.1962732
1,3,84541,1,OK,0.0126223,0.9814237,-0.1856234,-0.0468200,54.956,234.321,-53.747,0.2131839
1,3,84544,1,OK,0.0126153,0.9813846,-0.1855226,-0.0480251,54.767,234.364,-53.789,0.2001128
1,3,84547,1,OK,0.0124984,0.9815512,-0.1848587,-0.0472038,54.688,234.399,-53.683,0.2052669
1,3,84550,1,OK,0.0126041,0.9814685,-0.1850621,-0.0480906,54.641,234.394,-53.760,0.1992565
1,3,84553,1,OK,0.0125690,0.9815075,-0.1851635,-0.0468998,54.812,234.382,-53.721,0.2053095
1,3,84556,1,OK,0.0125550,0.9814755,-0.1852321,-0.0472992,54.877,234.351,-53.728,0.2255761
1,3,84559,1,OK,0.0126690,0.9813776,-0.1854946,-0.0482614,54.840,234.317,-53.823,0.1919307
1,3,84562,1,OK,0.0125372,0.9815302,-0.1849042,-0.0474528,54.652,234.419,-53.709,0.2047260
1,3,84565,1,OK,0.0124190,0.9815923,-0.1846020,-0.0473746,54.663,234.421,-53.683,0.2193098
1,3,84568,1,OK,0.0125310,0.9814573,-0.1853138,-0.0473639,54.886,234.363,-53.700,0.1904926
